Shelfmark ,Catalogue volume,Catalog pp. (begin),Catalog pp. (end),Wright’s Numeration ,Wright’s Dating,,Wright Numeration OCR,Shelfmark,ShelfmarkOCR,,,,,MS to fix
"Add. 14,534 ",2,526,527,DCLXXV,6c,,,"Add.14,534","Add.14,534",,,,,
"Add. 14,535 ",2,796,799,DCCXCVIII,9c,,,"Add.14,535","Add.14,535",,,,,
"Add. 14,536 ",2,742,744,DCCLXXI,8c,,,"Add.14,536","Add.14,536",,,,,
"Add. 14,537 ",2,1017,1018,DCCCLXVIII,7c-8c,,,"Add.14,537","Add.14,537",,,,,
"Add. 14,538 ",2,1003,1008,DCCCLXIII,10c,,,"Add.14,538","Add.14,538",,,,,
"Add. 14,539 ",2,499,499,DCXXVII,9c,,,"Add.14,539","Add.14,539",,,,,
"Add. 14,540 ",2,499,500,DCXXVIII,9c,,,"Add.14,540","Add.14,540",,,,,
"Add. 14,541, fol. 52",3,104,104,DCCCCXII,9c,,,"Add.14,541,fol.52","Add.14,541,fol.62",Here,,,,
"Add. 14,541, foll. 1-38",2,501,502,DCXXX,9c,,,"Add.14,541,foll.1-38","Add.14,541,foll.1-38",,,,,
"Add. 14,541, foll. 39-49",2,585,586,DCXCIX,8c-9c,,,"Add.14,541,foll.39-49","Add.14,541,foll.39-49",,,,,
"Add. 14,541, foll. 50,51",2,45,45,DLXIX,6c-7c,,,"Add.14,541,foll.50,51","Add.14,541,foll.50,51",,,,,
"Add. 14,542 ",2,416,418,DXLVII,509,,,"Add.14,542","Add.14,542",,,,,
"Add. 14,543 ",2,419,420,DL,6c,,,"Add.14,543","Add.14,543",,,,,
"Add. 14,544 ",2,421,422,DLII,5c-6c,,,"Add.14,544","Add.14,544",,,,,
"Add. 14,545 ",2,422,422,DLIII,6c,,,"Add.14,545","Add.14,545",,,,,
"Add. 14,546 ",2,718,719,DCCLVII,7c,,,"Add.14,546","Add.14,546",,,,,
"Add. 14,547 ",2,431,434,DLVII,9c,,,"Add.14,547","Add.14,547",,,,,
"Add. 14,548 ",2,434,436,DLVIII,790,,,"Add.14,548","Add.14,548",,,,,
"Add. 14,549 ",2,428,431,DLVI,8c-9c,,,"Add.14,549","Add.14,549",,,,,
"Add. 14,550 ",2,443,444,DLXIV,6c,,,"Add.14,550","Add.14,550",,,,,
"Add. 14,551 ",2,485,485,DCXI,8c,,,"Add.14,551","Add.14,551",,,,,
"Add. 14,552 ",2,485,486,DCXII,7c-8c,,,"Add.14,552","Add.14,552",,,,,
"Add. 14,553 ",2,489,490,DCXVIII,6c-7c,,,"Add.14,553","Add.14,553",,,,,
"Add. 14,554 ",2,492,492,DCXXI,9c,,,"Add.14,554","Add.14,554",,,,,
"Add. 14,555 ",2,483,484,DCIX,6c-7c,,,"Add.14,555","Add.14,555",,,,,
"Add. 14,556 ",2,487,488,DCXIV,6c-7c,,,"Add.14,556","Add.14,556",,,,,
"Add. 14,557 ",2,719,721,DCCLVIII,7c,,,"Add.14,557","Add.14,557",,,,,
"Add. 14,558 ",2,466,467,DLXXXIII,557,,,"Add.14,558","Add.14,558",,,,,
"Add. 14,559 ",2,468,269,DLXXXV,6c,,,"Add.14,559","Add.14,559",,,,,
"Add. 14,560 ",2,467,467,DLXXXIV,6c,,,"Add.14,560","Add.14,560",,,,,
"Add. 14,561 ",2,469,469,DLXXXVI,6c-7c,,,"Add.14,561","Add.14,561",,,,,
"Add. 14,562 ",2,470,471,DLXXXVIII,7c-8c,,,"Add.14,562","Add.14,562",,,,,
"Add. 14,563 ",2,471,471,DLXXXIX,7c-8c,,,"Add.14,563","Add.14,563",,,,,
"Add. 14,564 ",2,473,474,DXCI,6c-7c,,,"Add.14,564","Add.14,564",,,,,
"Add. 14,565 ",2,475,476,DXCIII,6c-7c,,,"Add.14,565","Add.14,565",,,,,
"Add. 14,566, foll. 1-28",2,476,476,DXCIV,6c,,,"Add.14,566,foll.1-28","Add.14,566,foll.1-28",,,,,
"Add. 14,566, foll. 29-112",2,476,477,DXCV,6c-7c,,,"Add.14,566,foll.29-112","Add.14,566,foll.29-112",,,,,
"Add. 14,567 ",2,478,479,DXCVII,6c,,,"Add.14,567","Add.14,567",,,,,
"Add. 14,568 ",2,405,406,DXXXI,599,,,"Add.14,568","Add.14,568",,,,,
"Add. 14,569 ",2,406,406,DXXXII,8c,,,"Add.14,569","Add.14,569",,,,,
"Add. 14,570 ",2,406,407,DXXXIII,5c-6c,,,"Add.14,570","Add.14,570",,,,,
"Add. 14,571 ",2,410,413,DXXXIX,519,,,"Add.14,571","Add.14,571",,,,,
"Add. 14,572 ",2,41,41,DXXXVIII,6c,,,"Add.14,572","Add.14,572",,,,,
"Add. 14,573 ",2,413,414,DXL,6c,,,"Add.14,573","Add.14,573",,,,,
"Add. 14,574, foll. 1-19",2,407,408,DXXXV,6c,,,"Add.14,574,foll.1-19","Add.14,574,foll.1-19",,,,,
"Add. 14,574, foll. 20-33",2,408,409,DXXXVI,5c-6c,,,"Add.14,574,foll.20-33","Add.14,574,foll.20-33",,,,,
"Add. 14,574, foll. 34-40",2,508,509,DCXL,6c-7c,,,"Add.14,574,foll.34-40","Add.14,574,foll.34^40",Here,,,,
"Add. 14,575 ",2,461,462,DLXXVI,7c,,,"Add.14,575","Add.14,575",,,,,
"Add. 14,576 ",2,462,464,DLXXVII,8c,,,"Add.14,576","Add.14,576",,,,,
"Add. 14,577",2,784,788,DCCXCIII,9c,,,"Add.14,577","Add.14,577",,,,,
"Add. 14,578 ",2,445,449,DLXVII,6c-7c,,,"Add.14,578","Add.14,578",,,,,
"Add. 14,579 ",2,815,818,DCCCVIII,913,,,"Add.14,579","Add.14,579",,,,,
"Add. 14,580 ",2,767,769,DCCLXXXIII,866,,,"Add.14,580","Add.14,580",,,,,
"Add. 14,581 ",2,655,657,DCCXXXIV,6c,,,"Add.14,581","Add.14,581",,,,,
"Add. 14,582 ",2,692,696,DCCLII,816,,,"Add.14,582","Add.14,582",,,,,
"Add. 14,583 ",3,1076,1078,DCCCCXXIX,11c,,,"Add.14,583","Add.14,583",,,,,
"Add. 14,584 ",2,506,507,DCXXXVIII,6c-7c,,,"Add.14,584","Add.14,584",,,,,
"Add. 14,585 ",2,502,503,DCXXXI,7c,,,"Add.14,585","Add.14,585",,,,,
"Add. 14,586 ",2,503,503,DCXXXIII,7c-8c,,,"Add.14,586","Add.14,586",,,,,
"Add. 14,587 ",2,517,524,DCLXXII,603,,,"Add.14,587","Add.14,587",,,,,
"Add. 14,588 ",2,806,807,DCCCIII,9c-10c,,,"Add.14,588","Add.14,588",,,,,
"Add. 14,589 ",2,858,859,DCCCXXX,11c-12c,,,"Add.14,589","Add.14,589",,,,,
"Add. 14,590 ",2,752,754,DCCLXXVII,8c-9c,,,"Add.14,590","Add.14,590",,,,,
"Add. 14,591 ",2,669,673,DCCXL,6c,,,"Add.14,591","Add.14,591",,,,,
"Add. 14,592 ",2,684,690,DCCXLVIII,6c-7c,,,"Add.14,592","Add.14,592",,,,,
"Add. 14,593 ",2,590,591,DCCIV,817,,,"Add.14,593","Add.14,593",,,,,
"Add. 14,594 ",2,618,620,DCCXIX,9c-10c,,,"Add.14,594","Add.14,594",,,,,
"Add. 14,595 ",2,530,531,DCLXXVIII,6c-7c,,,"Add.14,595","Add.14,595",,,,,
"Add. 14,596 ",2,531,532,DCLXXX,6c-7c,,,"Add.14,596","Add.14,596",,,,,
"Add. 14,597 ",2,648,651,DCCXXX,569,,,"Add.14,597","Add.14,597",,,,,
"Add. 14,598 ",2,731,732,DCCLXIV,"7c,",9c,,"Add.14,598","Add.14,598",,,,,
"Add. 14,599 ",2,546,548,DCLXXXVI,569,,,"Add.14,599","Add.14,599",,,,,
"Add. 14,600 ",2,565,569,DCXCIII,8c,,,"Add.14,600","Add.14,600",,,,,
"Add. 14,601 ",2,789,793,DCCXCV,9c,,,"Add.14,601","Add.14,601",,,,,
"Add. 14,602 ",2,701,715,DCCLIV,6c-7c,,,"Add.14,602","Add.14,602",,,,,
"Add. 14,603 ",2,586,587,DCC,7c,,,"Add.14,603","Add.14,603",,"Add.14,602",,,
"Add. 14,604 ",2,724,726,DCCLXI,7c,,,"Add.14,604","Add.14,604",,,,,
"Add. 14,605 ",2,715,717,DCCLV,653,,,"Add.14,605","Add.14,605",,,,,
"Add. 14,606 ",2,744,745,DCCLXXII,8c,,,"Add.14,606","Add.14,606",,,,,
"Add. 14,607 ",2,683,684,DCCXLVII,6c-7c,,,"Add.14,607","Add.14,607",,,,,
"Add. 14,608, foll. 1-97",2,733,734,DCCLXVI,7c-8c,,,"Add.14,608,foll.1-97","Add.14,608,foll.1-97",,,,,
"Add. 14,608, foll. 98-124",2,723,724,DCCLX,7c,,,"Add.14,608,foll.98-124","Add.14,608,foll.98-124",,,,,
"Add. 14,609 ",3,1088,1090,DCCCCXLI,6c,-587,,"Add.14,609","Add.14,609",,,,,
"Add. 14,610 ",2,638,639,DCCXXVIII,6c,-551,,"Add.14,610","Add.14,610",,,,,
"Add. 14,611 ",2,824,827,DCCCXIII,10c,,,"Add.14,611","Add.14,611",,"Add.14,611",,,
"Add. 14,612 ",2,696,701,DCCLIII,6c-7c,,,"Add.14,612","Add.14,612",,,,,
"Add. 14,613 ",2,810,815,DCCCVI,9c-10c,,,"Add.14,613","Add.14,613",,,,,
"Add. 14,614, foll. 1-79",2,832,833,DCCCXVII,10c,,,"Add.14,614,foll.1-79","Add.14,614,foll.1-79",,,,,
"Add. 14,614, foll. 80-127",2,745,746,DCCLXXIII,8c,,,"Add.14,614,foll.80-127","Add.14,614,foll.80-127",,,,,
"Add. 14,615 ",2,840,842,DCCCXXIV,10c-11c,,,"Add.14,615","Add.14,615",,,,,
"Add. 14,616 ",2,678,680,DCCXLIV,6c-7c,,,"Add.14,616","Add.14,616",,,,,
"Add. 14,617 ",2,740,742,DCCLXX,7c-8c,,,"Add.14,617","Add.14,617",,,,,
"Add. 14,618 ",2,736,738,DCCLXVIII,7c-8c,,,"Add.14,618","Add.14,618",,"Add.14,618",,,
"Add. 14,619 ",2,401,403,DXXVIII,6c,,,"Add.14,619","Add.14,619",,,,,
"Add. 14,620 ",2,800,803,DCCC,9c,,,"Add.14,620","Add.14,620",,,,,
"Add. 14,621 ",2,756,759,DCCLXXIX,802,,,"Add.14,621","Add.14,621",,,,,
"Add. 14,622 ",3,1150,1151,DCCCCLXXVIII,9c,,,"Add.14,622","Add.14,622",,,,,
"Add. 14,623 ",2,762,766,DCCLXXXI,823,,,"Add.14,623","Add.14,623",,"Add.14,622,foll.1-3",,,
"Add. 14,624 ",2,781,782,DCCXCI,9c,,,"Add.14,624","Add.14,624",,"Add.14,623,foll.39-46",,,
"Add. 14,625 ",2,532,532,DCLXXXI,10c,,,"Add.14,625","Add.14,625",,"Add.14,624,foll.22-29",,,
"Add. 14,626 ",3,1087,1088,DCCCCXL,6c,,,"Add.14,626","Add.14,626",,"Add.14,624,foll.48-67",,,
"Add. 14,627 ",2,415,415,DXLII,6c-7c,,,"Add.14,627","Add.14,627",,"Add.14,625,foll.66-76",,,
"Add. 14,628, foll. 1-8",2,1021,1022,DCCCLXXVI,11c,,,"Add.14,628,foll.1-8",,Here,,,,
"Add. 14,628, foll. 9-20",2,532,533,DCLXXXII,6c-7c,,,"Add.14,628,foll.9-20","Add.14,628,foll.9-20",,,,,
"Add. 14,629, foll. 1-24",2,754,756,DCCLXXVIII,8c-9c,,,"Add.14,629,foll.1-24","Add.14,629,foll.1-24",,,,,
"Add. 14,629, foll. 25-31",3,1111,1111,DCCCCLI,9c,,,"Add.14,629,foll.25-31","Add.14,629,foll.25-31",,"Add.14,630",,,
"Add. 14,630, fol. 28",2,512,512,DCXLVIII,7c,,,"Add.14,630,fol.28","Add.14,630,fol.28",,,,,
"Add. 14,630, foll. 1-27",2,818,819,DCCCX,10c,,,"Add.14,630,foll.1-27","Add.14,630,foll.1-27",,,,,
"Add. 14,630, foll. 29-41",2,481,481,DCIII,9c,,,"Add.14,630,foll.29-41","Add.14,630,foll.29-41",,,,,
"Add. 14,631, foll. 1-16",3,1149,1149,DCCCCLXXII,10c,,,"Add.14,631,foll.1-16","Add.14,631,foll.1-16",,,,,
"Add. 14,631, foll. 17-44",3,108,108,DCCCCXXXIII,9c-10c,,,"Add.14,631,foll.17-44","Add.14,631,foll.17-44",,,,,
"Add. 14,631, foll. 45-53",2,815,815,DCCCVII,9c-10c,,,"Add.14,631,foll.45-53","Add.14,631,foll.45-53",,,,,
"Add. 14,632 ",2,576,581,DCXCV,10c,,,"Add.14,632","Add.14,632",,,,,
"Add. 14,633 ",2,569,576,DCXCIV,10c,,,"Add.14,633","Add.14,633",,,,,
"Add. 14,634, foll. 1,2",2,515,515,DCLVIII,9c-10c,,,"Add.14,634,foll.1,2","Add.14,634,foll.1,2",,,,,
"Add. 14,634, foll. 3-49",2,514,515,DCLVI,9c,,,"Add.14,634,foll.3-49",,Here,,,,
"Add. 14,634, foll. 50,51",2,513,513,DCLIII,8c-9c,,,"Add.14,634,foll.50,51","Add.14,634,foll.50,51",,,,,
"Add. 14,634, foll. 52-57",2,422,423,DLIV,9c,,,"Add.14,634,foll.52-57",,Here,,,,
"Add. 14,635, foll. 1-4",2,445,445,DLXV,6c,,,"Add.14,635,foll.1-4","Add.14,635,foll.1-4",,,,,
"Add. 14,635, foll. 16-18",2,414,414,DXLI,6c,-555,,"Add.14,635,foll.16-18","Add.14,635,foll.16-18",,,,,
"Add. 14,635, foll. 19,20",2,419,419,DXLIX,8c-9c,,,"Add.14,635,foll.19,20","Add.14,635,foll.19,20",,,,,
"Add. 14,635, foll. 21-24",1,176,176,CCXXXVII,11c,,,"Add.14,635,foll.21-24","Add.14,635,foll.21-24",,,,,
"Add. 14,635, foll. 5-15",2,449,450,DLXVIII,6c,,,"Add.14,635,foll.5-15","Add.14,635,foll.5-15",,,,,
"Add. 14,636, foll. 1-56",1,398,398,DXXII,9c-10c,,,"Add.14,636,foll.1-56","Add.14,636,fblL1-56",,,,,
"Add. 14,636, foll. 57-76",2,1019,1019,DCCCLXXIII,10c,,,"Add.14,636,foll.57-76","Add.14,636,foll.57-76",,,,,
"Add. 14,636, foll. 77-82",2,102,102,DCCCLXXIV,10c,,,"Add.14,636,foll.77-82","Add.14,636,foll.77-82",,,,,
"Add. 14,637 ",2,833,834,DCCCXVIII,7c-8c,,,"Add.14,637","Add.14,637",,,,,
"Add. 14,638, foll. 1-18",1,398,399,DXXIII,9c-10c,,,"Add.14,638,foll.1-18","Add.14,638,foll.19-26",,,,,
"Add. 14,638, foll. 19-26",1,399,399,DXXIV,10c,,,"Add.14,638,foll.19-26","Add.14,638,folL1-18",,,,,
"Add. 14,639 ",3,1039,1040,DCCCCXI,6c,,,"Add.14,639","Add.14,639",,,,,
"Add. 14,640 ",3,1061,1062,DCCCCXX,7c,,,"Add.14,640","Add.14,640",,,,,
"Add. 14,641 ",3,1042,1046,DCCCCXVIII,6c,,,"Add.14,641","Add.14,641",,,,,
"Add. 14,642 ",3,1041,1042,DCCCCXVI,10c,,,"Add.14,642","Add.14,642",,,,,
"Add. 14,643 ",3,1040,1041,DCCCCXIII,8c,(mid),,"Add.14,643","Add.14,643",,,,,
"Add. 14,644 ",3,1083,1086,DCCCCXXXVI,5c-6c,,,"Add.14,644","Add.14,644",,,,,
"Add. 14,645 ",3,1111,1116,DCCCCLII,936,,,"Add.14,645","Add.14,645",,,,,
"Add. 14,646, foll. 1-133",3,1086,1087,DCCCCXXXVII,6c,,,"Add.14,646,foll.1-133",,Here,,,,
"Add. 14,646, foll. 134-194",3,1087,1087,DCCCCXXXIX,6c,,,"Add.14,646,foll.134-194","Add.14,646,foll.134-194",,,,,
"Add. 14,647 ",3,1094,1100,DCCCCXLV,688,,,"Add.14,647","Add.14,647",,,,,
"Add. 14,648 ",3,1091,1092,DCCCCXLIII,6c,,,"Add.14,648",,Here,,,,
"Add. 14,649, foll. 1-179",3,1108,1111,DCCCCL,9c,,,"Add.14,649,foll.1-179","Add.14,649,foll.1-179",,,,,
"Add. 14,649, foll. 180-205",2,533,533,DCLXXXIII,9c,,,"Add.14,649,foll.180-205","Add.14,649,foll.180-205",,,,,
"Add. 14,650 ",3,1103,1107,DCCCCXLIX,6c-7c,,,"Add.14,650","Add.14,650",,,,,
"Add. 14,651 ",3,1101,1103,DCCCCXLVIII,850,,,"Add.14,651","Add.14,651",,,,,
"Add. 14,652 ",2,651,652,DCCXXXI,6c,,,"Add.14,652","Add.14,652",,,,,
"Add. 14,653 ",2,807,809,DCCCIV,9c-10c,,,"Add.14,653","Add.14,653",,,,,
"Add. 14,654 ",3,1081,1083,DCCCCXXXV,5c-6c,,,"Add.14,654","Add.14,654",,,,,
"Add. 14,655 ",3,1119,1120,DCCCCLVII,11c,,,"Add.14,655","Add.14,655",,,,,
"Add. 14,656 ",2,819,819,DCCCXI,10c,,,"Add.14,656","Add.14,656",,,,,
"Add. 14,657 ",3,115,115,DCCCCLXXIV,9c,,,"Add.14,657","Add.14,657",,,,,
"Add. 14,658 ",3,1154,1160,DCCCCLXXXVII,7c,,,"Add.14,658","Add.14,658",,,,,
"Add. 14,660 ",3,1160,1162,DCCCCLXXXVIII,9c-10c,,,"Add.14,660","Add.14,660",Here,"Add.14,659",,,
"Add. 14,661 ",3,1187,1187,MIV,6c-7c,,,"Add.14,661","Add.14,661",,,,,
"Add. 14,662 ",3,1189,1189,MVI,9c,,,"Add.14,662","Add.14,662",,,,,
"Add. 14,663 ",2,691,692,DCCLI,6c-7c,,,"Add.14,663","Add.14,663",,,,,
"Add. 14,664, fol. 34",1,378,378,CCCCLXXXV,12c-13c,,,"Add.14,664,fol.34","Add.14,664,foD.22-29",,,,,
"Add. 14,664, foll. 1-17,20,21",1,203,203,CCLIV,10c-11c,,,"Add.14,664,foll.1-17,20,21","Add.14,664,fol.34",,,,,
"Add. 14,664, foll. 18,19,30-33",1,389,389,DVI,12c-13c,,,"Add.14,664,foll.18,19,30-33","Add.14,664,foll.1-17,20,21",,,,,
"Add. 14,664, foll. 22-29",1,39,39,LXII,10c-11c,,,"Add.14,664,foll.22-29","Add.14,664,folL18,19,30-33",,,,,
"Add. 14,665, fol. 25",1,389,389,DVIII,10c,,,"Add.14,665,fol.25","Add.14,665,fol.25",,,,,
"Add. 14,665, fol. 28",3,1172,1173,DCCCCXCVII,(9c-10c),,,"Add.14,665,fol.28","Add.14,665,fol.28",,,,,
"Add. 14,665, foll. 10-20",2,837,837,DCCCXXI,6c-7c,,,"Add.14,665,foll.10-20","Add.14,665,foll.10-20",,,,,
"Add. 14,665, foll. 1-7",3,1118,1119,DCCCCLV,10c-11c,,,"Add.14,665,foll.1-7","Add.14,665,foll.1-7",,,,,
"Add. 14,665, foll. 21-24",1,389,389,DVII,12c-13c,,,"Add.14,665,foll.21-24","Add.14,665,foll.21-24",,,,,
"Add. 14,665, foll. 26,27",2,1022,1022,DCCCLXXVII,"8c,12c-13c",,,"Add.14,665,foll.26,27","Add.14,665,foll.26,27",,,,,
"Add. 14,665, foll. 8,9",3,1151,1151,DCCCCLXXXI,8c,,,"Add.14,665,foll.8,9","Add.14,665,foll.8,9",,,,,
"Add. 14,666, fol. 1",1,17,17,XXVIII,10c-11c,,,"Add.14,666,fol.1","Add.14,666,fol.1",,,,,
"Add. 14,666, fol. 2",1,17,17,XXVII,8c,,,"Add.14,666,fol.2","Add.14,666,fol.2",,,,,
"Add. 14,666, fol. 3",1,13,13,XX,6c-7c,,,"Add.14,666,fol.3","Add.14,666,fol.3",,,,,
"Add. 14,666, fol. 47",1,69,69,CVII,12c,,,"Add.14,666,fol.47","Add.14,666,fol.37",,,,,
"Add. 14,666, fol. 48",1,69,69,CV,10c,,,"Add.14,666,fol.48","Add.14,666,fol.47",,,,,
"Add. 14,666, fol. 56",1,92,92,CXLII,682,,,"Add.14,666,fol.56","Add.14,666,fol.48",,,,,
"Add. 14,666, foll. 10-12",1,123,123,CLXXIV,9c-10c,,,"Add.14,666,foll.10-12","Add.14,666,fol.56",,,,,
"Add. 14,666, foll. 13-32",1,141,141,CCIV,12c,,,"Add.14,666,foll.13-32","Add.14,666,foll.10-12",,,,,
"Add. 14,666, foll. 33-36",1,141,141,CCV,12c-13c,,,"Add.14,666,foll.33-36","Add.14,666,foll.13-32",,,,,
"Add. 14,666, foll. 37",1,27,27,XLV,6c-7c,,,"Add.14,666,foll.37","Add.14,666,foll.33-36",,,,,
"Add. 14,666, foll. 38-46",1,27,27,XLIII,6c-7c,,,"Add.14,666,foll.38-46","Add.14,666,foll.38-46",,,,,
"Add. 14,666, foll. 4,5",1,123,123,CLXXII,9c,,,"Add.14,666,foll.4,5","Add.14,666,foll.4,5",,,,,
"Add. 14,666, foll. 49,50",1,72,72,CXV,10c-11c,,,"Add.14,666,foll.49,50","Add.14,666,foll.49and60",,,,,
"Add. 14,666, foll. 51-55",1,93,93,CXLIV,7c-8c,,,"Add.14,666,foll.51-55","Add.14,666,foll.51-55",,,,,
"Add. 14,666, foll. 57-64",2,732,733,DCCLXV,7c-8c,,,"Add.14,666,foll.57-64","Add.14,666,foll.57-64",,,,,
"Add. 14,666, foll. 6-9",1,123,123,CLXXIII,9c,,,"Add.14,666,foll.6-9","Add.14,666,foll.6-9",,,,,
"Add. 14,667, fol. 43",1,312,312,CCCXCI,12c,,,"Add.14,667,fol.43","Add.14,667,fol.43",,,,,
"Add. 14,667, fol. 54",1,366,366,CCCCLIV,9c,,,"Add.14,667,fol.54","Add.14,667,fol.54",,,,,
"Add. 14,667, fol. 64",3,1197,1197,MXIX,932,,,"Add.14,667,fol.64","Add.14,667,fol.64",,,,,
"Add. 14,667, foll,13-16",1,233,233,CCXCVIII,9c-10c,,,"Add.14,667,foll,13-16","Add.14,667,foll.1-12",,,,,
"Add. 14,667, foll,17-28",1,225,225,CCLXXXIX,10c-11c,,,"Add.14,667,foll,17-28","Add.14,667,foll.13-16",,,,,
"Add. 14,667, foll. 1-12",1,111,111,CLXIII,10c,,,"Add.14,667,foll.1-12","Add.14,667,foll.17-28",,,,,
"Add. 14,667, foll. 29-38",1,228,229,CCXCII,10c-11c,,,"Add.14,667,foll.29-38","Add.14,667,foll.29-38",,,,,
"Add. 14,667, foll. 39,40",1,388,389,DV,10c-11c,,,"Add.14,667,foll.39,40","Add.14,667,foll.39,40",,,,,
"Add. 14,667, foll. 41,42",1,367,367,CCCCLXII,11c,,,"Add.14,667,foll.41,42","Add.14,667,foll.41,42",,,,,
"Add. 14,667, foll. 44,45",1,384,384,CCCCXCVI,8c,,,"Add.14,667,foll.44,45","Add.14,667,foll.44,46",Here,,,,
"Add. 14,667, foll. 46-49",1,384,385,DI,10c,,,"Add.14,667,foll.46-49","Add.14,667,foll.50,51",,,,,
"Add. 14,667, foll. 50,51",3,1197,1198,MXXIV,1057,,,"Add.14,667,foll.50,51","Add.14,667,foll.52,63",Here,,,,
"Add. 14,667, foll. 52,53",1,384,384,D,10c,,,"Add.14,667,foll.52,53","Add.14,667,foll.56-59",Here,,,,
"Add. 14,667, foll. 55-59",1,316,316,CCCCIII,11c,,,"Add.14,667,foll.55-59","Add.14,667,foll.60-63",,,,,
"Add. 14,667, foll. 60-63",1,295,295,CCCLII,10c,,,"Add.14,667,foll.60-63","Add.14,667,foll.65-69",,,,,
"Add. 14,667, foll. 65-69",1,295,295,CCCLIII,10c,,,"Add.14,667,foll.65-69","Add.14,667,foll.70,71",,,,,
"Add. 14,667, foll. 70,71",1,254,254,CCCXIV,10c,,,"Add.14,667,foll.70,71","Add.14,667,foll.72,73",,,,,
"Add. 14,667, foll. 72,73",1,202,203,CCLIII,11c,,,"Add.14,667,foll.72,73","Add.14,667,foll.74and75",,,,,
"Add. 14,667, foll. 74,75",1,312,312,CCCXC,11c,,,"Add.14,667,foll.74,75","Add.14,667,foll.76-78",,,,,
"Add. 14,667, foll. 76-78",1,316,316,CCCCI,10c-11c,,,"Add.14,667,foll.76-78","Add.14,667,folL46-49",,,,,
"Add. 14,668, fol. 44",2,788,788,DCCXCIV,9c,,,"Add.14,668,fol.44","Add.14,668,fol.44",,,,,
"Add. 14,668, fol. 45",2,480,481,DC,8c-9c,,,"Add.14,668,fol.45","Add.14,668,fol.45",,,,,
"Add. 14,668, fol. 46",3,1196,1196,MXVI,888,,,"Add.14,668,fol.46","Add.14,668,fol.46",,,,,
"Add. 14,668, foll. 12-19",1,27,27,XLIV,7c,,,"Add.14,668,foll.12-19","Add.14,668,foll.12-19",,,,,
"Add. 14,668, foll. 1-3",1,1,1,XIV,9c,,,"Add.14,668,foll.1-3","Add.14,668,foll.1-3",,,,,
"Add. 14,668, foll. 20-25",1,20,21,XXXIII,8c,,,"Add.14,668,foll.20-25","Add.14,668,foll.20-25",,,,,
"Add. 14,668, foll. 26-29",1,37,37,LVIII,8c,,,"Add.14,668,foll.26-29","Add.14,668,foll.26-29",,,,,
"Add. 14,668, foll. 30,31",1,72,72,CXIV,9c,,,"Add.14,668,foll.30,31","Add.14,668,foll.30and31",,,,,
"Add. 14,668, foll. 32-36",2,482,482,DCVII,6c,,,"Add.14,668,foll.32-36","Add.14,668,foll.32-36",,,,,
"Add. 14,668, foll. 37-39",2,605,606,DCCIX,9c-10c,,,"Add.14,668,foll.37-39","Add.14,668,foll.37-39",,,,,
"Add. 14,668, foll. 40-43",2,769,769,DCCLXXXIV,866,,,"Add.14,668,foll.40-43","Add.14,668,foll.40-43",,,,,
"Add. 14,668, foll. 4-11",1,37,37,LIX,8c,,,"Add.14,668,foll.4-11","Add.14,668,foll.4-11",,,,,
"Add. 14,669, fol. 19",2,481,481,DCI,10c,,,"Add.14,669,fol.19","Add.14,669,fol.19",,,,,
"Add. 14,669, fol. 25",1,22,22,XXXV,7c,,,"Add.14,669,fol.25","Add.14,669,fol.22",,,,,
"Add. 14,669, fol. 26",1,69,69,CVIII,12c,,,"Add.14,669,fol.26","Add.14,669,fol.25",,,,,
"Add. 14,669, fol. 37",1,72,72,CXIII,6c,,,"Add.14,669,fol.37","Add.14,669,fol.26",,,,,
"Add. 14,669, foll. 1-18",2,483,483,DCVIII,5c-6c,,,"Add.14,669,foll.1-18","Add.14,669,fol.37",,,,,
"Add. 14,669, foll. 20,21",1,204,204,CCLV,6c,,,"Add.14,669,foll.20,21","Add.14,669,foll.1-18",,,,,
"Add. 14,669, foll. 22",1,1,1,XV,10c,,,"Add.14,669,foll.22","Add.14,669,foll.20and21",,,,,
"Add. 14,669, foll. 23,24",1,1,1,XIII,6c,,,"Add.14,669,foll.23,24","Add.14,669,foll.23,24",,,,,
"Add. 14,669, foll. 27,28",1,69,69,CIV,7c,,,"Add.14,669,foll.27,28","Add.14,669,foll.27and28",,,,,
"Add. 14,669, foll. 29-33",1,68,69,CIII,6c-7c,,,"Add.14,669,foll.29-33","Add.14,669,foll.29-33",,,,,
"Add. 14,669, foll. 34-36",1,67,67,XCIX,6c,,,"Add.14,669,foll.34-36","Add.14,669,foll.34-36",,,,,
"Add. 14,669, foll. 38-56",1,58,58,LXXXII,9c,,,"Add.14,669,foll.38-56","Add.14,669,foll.38-66",Here,,,,
"Add. 14,669, foll. 57-59",1,9,9,CXL,6c-7c,,,"Add.14,669,foll.57-59","Add.14,669,foll.67-59",Here,,,,
"Add. 14,670, fol. 1",2,48,48,DXCIX,6c-7c,,,"Add.14,670,fol.1","Add.14,670,fol.1",,,,,
"Add. 14,670, fol. 14",2,464,464,DLXXVIII,6c,,,"Add.14,670,fol.14","Add.14,670,fol.14",,,,,
"Add. 14,670, fol. 38",2,512,512,DCXLIX,7c,,,"Add.14,670,fol.38","Add.14,670,fol.38",,,,,
"Add. 14,670, fol. 39",2,512,512,DCXLVII,7c,,,"Add.14,670,fol.39","Add.14,670,fol.39",,,,,
