Shelfmark ,Catalogue volume,Catalog pp. (begin),Catalog pp. (end),Wright’s Numeration ,Wright’s Dating,,Wright Numeration OCR,Shelfmark,ShelfmarkOCR,,,,,MS to fix
"Add. 12,169, foll. 179-218",2,673,674,DCCXLI,6c,,,"Add.12,169,foll.179-218","Add.12,169,foll.179-218",,,,,
"Add. 12,170, foll. 1-135",2,458,461,DLXXV,604,,,"Add.12,170,foll.1-135","Add.12,170,foll.1-135",,,,,
"Add. 12,170, foll. 136-276",2,746,752,DCCLXXIV,8c-9c(early),,,"Add.12,170,foll.136-276","Add.12,170,foll.136-276",,,,,
"Add. 12,170, foll. 277-279",2,752,752,DCCLXXV,8c-9c(early),,,"Add.12,170,foll.277-279","Add.12,170,foll.277-279",,,,,
"Add. 12,171, foll. 1-64",2,587,588,DCCI,815,,,"Add.12,171,foll.1-64","Add.12,171,foll.1-64",,,,,
"Add. 12,171, foll. 65-68",2,766,767,DCCLXXXII,833,,,"Add.12,171,foll.65-68","Add.12,171,foll.65-68",,,,,
"Add. 12,172, foll. 1-11",2,465,465,DLXXX,10c,,,"Add.12,172,foll.1-11","Add.12,172,foll.1-11",,,,,
"Add. 12,172, foll. 12-24",3,1116,1117,DCCCCLIII,10c,,,"Add.12,172,foll.12-24","Add.12,172,foll.12-24",,,,,
"Add. 12,172, foll. 136-196",1,6,7,VII,"9c-10c,10c-11c",,,"Add.12,172,foll.136-196","Add.12,172,foll.136-196",,,,,
"Add. 12,172, foll. 197-234",1,12,13,XVIII,6c-7c,,,"Add.12,172,foll.197-234","Add.12,172,foll.197-234",,,,,
"Add. 12,172, foll. 25-54",3,1117,1118,DCCCCLIV,10c,,,"Add.12,172,foll.25-54","Add.12,172,foll.25-54",,,,,
"Add. 12,172, foll. 55-64",2,608,608,DCCXII,9c,,,"Add.12,172,foll.55-64","Add.12,172,foll.55-64",,,,,
"Add. 12,172, foll. 65-135",2,592,605,DCCVII,9c,,,"Add.12,172,foll.65-135","Add.12,172,foll.65-135",,,,,
"Add. 12,173 ",3,1070,1072,DCCCCXXIII,6c-7c,,,"Add.12,173","Add.12,173",,,,,
"Add. 12,174 ",3,1123,1139,DCCCCLX,1197,,,"Add.12,174","Add.12,174",,,,,
"Add. 12,175, foll. 1-48",3,1100,1101,DCCCCXLVI,7c-8c,,,"Add.12,175,foll.1-48","Add.12,175,foll.1-48",,,,,
"Add. 12,175, foll. 49-80",2,657,658,DCCXXXVI,6c,,,"Add.12,175,foll.49-80","Add.12,175,foll.49-80",,,,,
"Add. 12,175, foll. 81-254",2,633,638,DCCXXVII,534,,,"Add.12,175,foll.81-254","Add.12,175,foll.81-254",,,,,
"Add. 12,176 ",2,409,410,DXXXVII,5c-6c,,,"Add.12,176","Add.12,176",,,,,
"Add. 12,177 ",1,58,60,LXXXIII,1189,,,"Add.12,177","Add.12,177",,,,,
"Add. 12,178 ",1,108,111,CLXII,9c-10c,,,"Add.12,178","Add.12,178",,,,,
"Add. 12,179 ",1,321,324,CCCCX,11c-12c,,,"Add.12,179","Add.12,179",,,,,
"Add. 12,180 ",2,474,475,DXCII,6c-7c,,,"Add.12,180","Add.12,180",,,,,
"Add. 12,181 ",2,558,564,DCXCII,8c,,,"Add.12,181","Add.12,181",,,,,
"Add. 14,425 ",1,3,5,III,464,,,"Add.14,425","Add.14,425",,,,,
"Add. 14,426 ",1,6,6,V,6c-7c,,,"Add.14,426","Add.14,426",,,,,
"Add. 14,427 ",1,5,6,IV,6c,,,"Add.14,427","Add.14,427",,,,,
"Add. 14,428 ",1,9,10,XI,724,,,"Add.14,428","Add.14,428",,,,,
"Add. 14,429 ",1,37,39,LX,719,,,"Add.14,429","Add.14,429",,,,,
"Add. 14,430 ",1,15,16,XXIV,724,,,"Add.14,430","Add.14,430",,,,,
"Add. 14,431 ",1,14,15,XXII,545,,,"Add.14,431","Add.14,431",,,,,
"Add. 14,432 ",1,21,21,XXXIV,6c,,,"Add.14,432","Add.14,432",,,,,
"Add. 14,433 ",1,126,126,CLXXVII,10c,,,"Add.14,433","Add.14,433",,,,,
"Add. 14,434, foll. 1-79",1,35,36,LIV,8c,(early),,"Add.14,434,foll.1-79","Add.14,434,foll.1-79",,,,,
"Add. 14,434, foll. 80-128",1,36,37,LV,8c,,,"Add.14,434,foll.80-128","Add.14,434,foll.80-128",,,,,
"Add. 14,435 ",1,122,123,CLXXI,9c,,,"Add.14,435","Add.14,435",,,,,
"Add. 14,436, foll. 1-76",1,119,120,CLXIX,8c-9c,,,"Add.14,436,foll.1-76","Add.14,436,foll.1-76",,,,,
"Add. 14,436, foll. 77-129",1,126,127,CLXXVIII,10c,,,"Add.14,436,foll.77-129","Add.14,436,foll.77-129",,,,,
"Add. 14,437, foll. 1-46",1,31,31,L,8c,,,"Add.14,437,foll.1-46","Add.14,437,foll.1-46",,,,,
"Add. 14,437, foll. 47-124",1,33,34,LIII,8c,,,"Add.14,437,foll.47-124","Add.14,437,foll.47-124",,,,,
"Add. 14,438, foll. 1-49",1,1,1,XII,6c,,,"Add.14,438,foll.1-49","Add.14,438,foll.1-49",,,,,
"Add. 14,438, foll. 50-101",1,13,14,XXI,6c,,,"Add.14,438,foll.50-101","Add.14,438,foll.50-101",,,,,
"Add. 14,439 ",1,13,13,XIX,6c-7c,,,"Add.14,439","Add.14,439",,,,,
"Add. 14,440 ",1,10,11,XVI,10c-11c,,,"Add.14,440","Add.14,440",,,,,
"Add. 14,441 ",1,39,39,LXI,719,,,"Add.14,441","Add.14,441",,,,,
"Add. 14,442, foll. 1-46",1,28,29,XLVIII,7c,,,"Add.14,442,foll.1-46","Add.14,442,foll.47-65",Here,,,,
"Add. 14,442, foll. 47-65",1,15,15,XXIII,6c-7c,,,"Add.14,442,foll.47-65","Add.14,442,folL1-46",Here,,,,
"Add. 14,443, foll. 1-34",1,17,17,XXVI,6c,,,"Add.14,443,foll.1-34","Add.14,443,foll.1-34",,,,,
"Add. 14,443, foll. 35-71",1,18,18,XXX,6c-7c,,,"Add.14,443,foll.35-71","Add.14,443,foll.35-71",,,,,
"Add. 14,443, foll. 72-98",1,18,18,XXXI,6c-7c,,,"Add.14,443,foll.72-98","Add.14,443,foll.72-98",,,,,
"Add. 14,443, foll. 99-144",1,27,27,XLII,6c,,,"Add.14,443,foll.99-144","Add.14,443,foll.99-144",,,,,
"Add. 14,444, foll. 1-24",1,6,6,VI,6c-7c,,,"Add.14,444,foll.1-24","Add.14,444,foll.1-24",,,,,
"Add. 14,444, foll. 25-38",1,8,8,X,6c,,,"Add.14,444,foll.25-38","Add.14,444,foll.25-38",,,,,
"Add. 14,445 ",1,26,7,XLI,532,,,"Add.14,445","Add.14,445",,,,,
"Add. 14,446 ",1,98,98,CLV,6c-7c,,,"Add.14,446","Add.14,446",,,,,
"Add. 14,447 ",1,98,98,CLVI,10c,,,"Add.14,447","Add.14,447",,,,,
"Add. 14,448 ",1,41,42,LXIV,699-700,,,"Add.14,448","Add.14,448",,,,,
"Add. 14,449 ",1,46,47,LXIX,6c-7c,,,"Add.14,449","Add.14,449",,,,,
"Add. 14,450 ",1,55,55,LXXIX,7c,,,"Add.14,450","Add.14,450",,,,,
"Add. 14,451 ",1,73,75,CXIX,5c,(late),,"Add.14,451","Add.14,451",,"[Add. 14,455.]",,,
"Add. 14,451 ",1,62,63,LXXXVIII,8c,,,"Add.14,451","Add.14,451",,,,,
"Add. 14,452 ",1,49,50,LXXIV,6c-7c,,,"Add.14,452","Add.14,452",,,,,
"Add. 14,453 ",1,44,45,LXVI,5c-6c,,,"Add.14,453","Add.14,453",,,,,
"Add. 14,454 ",1,62,62,LXXXVII,6c-7c,,,"Add.14,454","Add.14,454",,,,,
"Add. 14,455 ",1,45,45,LXVII,6c,,,"Add.14,455","Add.14,455",,,,,
"Add. 14,456 ",1,55,57,LXXX,8c,,,"Add.14,456","Add.14,456",,,,,
"Add. 14,457 ",1,47,47,LXX,6c-7c,,,"Add.14,457","Add.14,457",,,,,
"Add. 14,458 ",1,47,48,LXXI,6c-7c,,,"Add.14,458","Add.14,458",,,,,
"Add. 14,459, foll. 1-66",1,64,64,XC,5c,,,"Add.14,459,foll.1-66","Add.14,459,foll.1-66",,,,,
"Add. 14,459, foll. 67-169",1,67,68,CI,530-540,,,"Add.14,459,foll.67-169","Add.14,459,foll.67-169",,,,,
"Add. 14,460 ",1,52,53,LXXVI,600,,,"Add.14,460","Add.14,460",,,,,
"Add. 14,461, foll. 108-212",1,68,68,CII,9c-10c,,,"Add.14,461,foll.108-212","Add.14,461,foll.108-212",,,,,
"Add. 14,461, foll. 1-107",1,65,66,XCIV,6c,,,"Add.14,461,foll.1-107","Add.14,461,foll.1-107",,,,,
"Add. 14,462 ",1,64,65,XCII,6c,,,"Add.14,462","Add.14,462",,,,,
"Add. 14,463 ",1,54,55,LXXVIII,7c,,,"Add.14,463","Add.14,463",,,,,
"Add. 14,464 ",1,70,71,CX,6c,,,"Add.14,464","Add.14,464",,,,,
"Add. 14,465 ",1,60,61,LXXXV,12c,,,"Add.14,465","Add.14,465",,,,,
"Add. 14,466, foll. 1-10",1,69,69,CVI,12c,,,"Add.14,466,foll.1-10","Add.14,466,foll.1-10",,,,,
"Add. 14,466, foll. 11-17",1,67,67,C,10c-11c,,,"Add.14,466,foll.11-17","Add.14,466,foll.11-17",,,,,
"Add. 14,466, foll. 18-42",1,73,73,CXVIII,11c-12c,,,"Add.14,466,foll.18-42","Add.14,466,foll.18-42",,,,,
"Add. 14,466, foll. 43-59",2,836,837,DCCCXX,10c-11c,,,"Add.14,466,foll.43-59","Add.14,466,foll.43-59",,,,,
"Add. 14,467 ",1,66,67,XCVII,10c(early),,,"Add.14,467","Add.14,467",,,,,
"Add. 14,468, foll. 1-20",1,92,93,CXLIII,7c,,,"Add.14,468,foll.1-20","Add.14,468,foll.1-20",,,,,
"Add. 14,468, foll. 21-33",1,93,93,CXLVI,10c-11c,,,"Add.14,468,foll.21-33","Add.14,468,foll.21-33",,,,,
"Add. 14,469 ",1,75,76,CXX,936,,,"Add.14,469","Add.14,469",,,,,
"Add. 14,470 ",1,40,41,LXIII,"5c-6c,",9c,,"Add.14,470","Add.14,470",,,,,
"Add. 14,471 ",1,53,54,LXXVII,615,,,"Add.14,471","Add.14,471",,,,,
"Add. 14,472 ",1,81,82,CXXVIII,6c-7c,,,"Add.14,472","Add.14,472",,,,,
"Add. 14,473, foll. 1-139",1,79,80,CXXV,6c,,,"Add.14,473,foll.1-139","Add.14,473,foll.1-139",,,,,
"Add. 14,473, foll. 140-148",1,83,84,CXXXII,11c,,,"Add.14,473,foll.140-148","Add.14,473,foll.140-148",,,,,
"Add. 14,474 ",1,76,77,CXXI,9c,,,"Add.14,474","Add.14,474",,,,,
"Add. 14,475 ",1,86,87,CXXXVI,6c,,,"Add.14,475","Add.14,475",,,,,
"Add. 14,476 ",1,84,84,CXXXIII,5c-6c,,,"Add.14,476","Add.14,476",,,,,
"Add. 14,477 ",1,88,89,CXXXVIII,6c-7c,,,"Add.14,477","Add.14,477",,,,,
"Add. 14,478 ",1,90,92,CXLI,622,,,"Add.14,478","Add.14,478",,,,,
"Add. 14,479 ",1,86,86,CXXXV,534,,,"Add.14,479","Add.14,479",,,,,
"Add. 14,480 ",1,84,85,CXXXIV,5c-6c,,,"Add.14,480","Add.14,480",,,,,
"Add. 14,481 ",1,9,9,CXXXIX,6c-7c,,,"Add.14,481","Add.14,481",,,,,
"Add. 14,482 ",1,112,113,CLXV,11c-12c,,,"Add.14,482","Add.14,482",,,,,
"Add. 14,483 ",2,591,591,DCCVI,9c,,,"Add.14,483","Add.14,483",,,,,
"Add. 14,484, foll. 12-47",1,98,99,CLVII,6c,,,"Add.14,484,foll.12-47","Add.14,484,foll.12-47",,,,,
"Add. 14,484, foll. 134-152",3,1152,1153,DCCCCLXXXIII,6c,,,"Add.14,484,foll.134-152","Add.14,484,foll.134-152",,,,,
"Add. 14,484, foll. 1-8",1,99,99,CLVIII,5c-6c,,,"Add.14,484,foll.1-8","Add.14,484,foll.1-8",,,,,
"Add. 14,484, foll. 48-133",3,1152,1152,DCCCCLXXXII,6c,,,"Add.14,484,foll.48-133","Add.14,484,foll.48-133",,,,,
"Add. 14,484, foll. 9-11",1,99,100,CLIX,10c-11c,,,"Add.14,484,foll.9-11","Add.14,484,foll.9-11",,,,,
"Add. 14,485 ",1,146,149,CCXX,824,,,"Add.14,485","Add.14,485",,,,,
"Add. 14,486 ",1,149,152,CCXXI,824,,,"Add.14,486","Add.14,486",,,,,
"Add. 14,487 ",1,152,154,CCXXII,824,,,"Add.14,487","Add.14,487",,,,,
"Add. 14,488 ",1,194,200,CCL,11c,–prob.1023,,"Add.14,488","Add.14,488",,,,,
"Add. 14,489 ",1,200,202,CCLI,1046,,,"Add.14,489","Add.14,489",,,,,
"Add. 14,490 ",1,159,161,CCXXV,1089,,,"Add.14,490","Add.14,490",,,,,
"Add. 14,491 ",1,179,181,CCXLIV,9c-10c,,,"Add.14,491","Add.14,491",,,,,
"Add. 14,492 ",1,178,179,CCXLIII,862,,,"Add.14,492","Add.14,492",,,,,
"Add. 14,493 ",1,219,223,CCLXXXVI,10c,,,"Add.14,493","Add.14,493",,,,,
"Add. 14,494 ",1,217,218,CCLXXXIV,9c-10c,,,"Add.14,494","Add.14,494",,,,,
"Add. 14,495 ",1,227,228,CCXCI,10c-11c,,,"Add.14,495",,Here,,,,
"Add. 14,496 ",1,223,225,CCLXXXVII,10c,,,"Add.14,496","Add.14,496",,,,,
"Add. 14,497 ",1,231,232,CCXCVI,11c-12c,,,"Add.14,497","Add.14,497",,,,,
"Add. 14,498 ",1,230,231,CCXCV,1133,,,"Add.14,498","Add.14,498",,,,,
"Add. 14,499 ",1,229,230,CCXCIII,10c-11c,,,"Add.14,499","Add.14,499",,,,,
"Add. 14,500 ",1,23,23,CCXCIV,11c,,,"Add.14,500","Add.14,500",,,,,
"Add. 14,501 ",1,270,271,CCCXXIV,11c,,,"Add.14,501","Add.14,501",,,,,
"Add. 14,502 ",1,394,395,DXV,12c,,,"Add.14,502",,Here,,,,
"Add. 14,503 ",1,254,258,CCCXVIII,10c-11c,,,"Add.14,503",,Here,,,,
"Add. 14,504 ",1,280,282,CCCXXXVIII,9c,,,"Add.14,504","Add.14,504",,,,,
"Add. 14,505 ",1,282,283,CCCXXXIX,10c,,,"Add.14,505","Add.14,505",,,,,
"Add. 14,506, foll,1-96",1,368,368,CCCCLXIII,11c,,,"Add.14,506,foll.1-96","Add.14,506,foll.1-96",,,,,
"Add. 14,506, foll. 111-118",1,366,366,CCCCLV,9c,,,"Add.14,506,foll.111-118","Add.14,506,foll.111-118",,,,,
"Add. 14,506, foll. 119-235",1,247,249,CCCX,9c-10c,,,"Add.14,506,foll.119-235","Add.14,506,foll.119-235",,,,,
"Add. 14,506, foll. 97-110",1,367,367,CCCCLX,11c,,,"Add.14,506,foll.97-110","Add.14,506,foll.97-110",,,,,
"Add. 14,507 ",1,283,285,CCCXL,10c-11c,,,"Add.14,507","Add.14,507",,,,,
"Add. 14,508 ",1,324,325,CCCCXIV,11c-12c,,,"Add.14,508","Add.14,508",,,,,
"Add. 14,509 ",1,271,272,CCCXXV,11c,,,"Add.14,509","Add.14,509",,,,,
"Add. 14,510 ",1,378,379,CCCCLXXXVI,1056,,,"Add.14,510","Add.14,510",,,,,
"Add. 14,511 ",1,249,250,CCCXI,10c,,,"Add.14,511",,Here,,,,
"Add. 14,512 ",1,250,251,CCCXII,10c,,,"Add.14,512","Add.14,512",,,,,
"Add. 14,513 ",1,292,292,CCCXLVII,9c-10c,,,"Add.14,513","Add.14,513",,,,,
"Add. 14,514 ",1,341,343,CCCCXXV,9c,,,"Add.14,514","Add.14,514",,,,,
"Add. 14,515 ",1,240,243,CCCVI,893,,,"Add.14,515","Add.14,515",,,,,
"Add. 14,516 ",1,244,246,CCCVIII,9c,,,"Add.14,516","Add.14,516",,,,,
"Add. 14,517 ",1,385,388,DII,10c-11c,,,"Add.14,517","Add.14,517",,,,,
"Add. 14,518 ",1,218,218,CCLXXXV,9c-10c,,,"Add.14,518",,Here,,,,
"Add. 14,519 ",1,272,274,CCCXXVII,11c-12c,,,"Add.14,519",,Here,,,,
"Add. 14,520 ",1,363,365,CCCCLI,8c-9c,,,"Add.14,520","Add.14,520",,,,,
"Add. 14,521 ",1,384,384,CCCCXCIX,10c,,,"Add.14,521","Add.14,521",,,,,
"Add. 14,522, fol. 46",2,45,45,DLXX,9c-10c,,,"Add.14,522,fol.46","Add.14,522,fol.46",,,,,
"Add. 14,522, foll. 1-3",1,324,324,CCCCXIII,11c,,,"Add.14,522,foll.1-3",,Here,,,,
"Add. 14,522, foll. 27-36",1,233,233,CCXCIX,10c-11c,,,"Add.14,522,foll.27-36","Add.14,522,foll.27-36",,,,,
"Add. 14,522, foll. 37-45",2,831,831,DCCCXVI,10c,,,"Add.14,522,foll.37-45","Add.14,522,foll.37-45",,,,,
"Add. 14,522, foll. 4-26",1,246,247,CCCIX,9c,,,"Add.14,522,foll.4-26","Add.14,522,foll.4-26",,,,,
"Add. 14,523, fol. 38",1,294,294,CCCLI,10c,,,"Add.14,523,fol.38","Add.14,523,fol.38",,,,,
"Add. 14,523, fol. 8",1,204,204,CCLVII,8c-9c,,,"Add.14,523,fol.8",,Here,,,,
"Add. 14,523, fol. 9",1,204,204,CCLVIII,10c,,,"Add.14,523,fol.9","Add.14,523,fol.9",,,,,
"Add. 14,523, foll. 10-13",1,383,384,CCCCXCV,8c,,,"Add.14,523,foll.10-13","Add.14,523,foll.10-13",,,,,
"Add. 14,523, foll. 14-35",1,293,293,CCCXLIX,9c-10c,,,"Add.14,523,foll.14-35","Add.14,523,foll.14-35",,,,,
"Add. 14,523, foll. 1-7",1,204,204,CCLVI,8c-9c,,,"Add.14,523,foll.1-7","Add.14,523,foll.1-7",,,,,
"Add. 14,523, foll. 36,37",1,292,293,CCCXLVIII,9c-10c,,,"Add.14,523,foll.36,37","Add.14,523,foll.36and37",,,,,
"Add. 14,523, foll. 39-46",1,388,388,DIV,10c-11c,,,"Add.14,523,foll.39-46",,Here,,,,
"Add. 14,523, foll. 47,48",1,349,349,CCCCXXXIV,11c,,,"Add.14,523,foll.47,48","Add.14,523,foll.47,48",,,,,
"Add. 14,523, foll. 49-56",2,493,493,DCXXIV,10c,,,"Add.14,523,foll.49-56","Add.14,523,foll.49-56",,,,,
"Add. 14,524, fol. 1",1,204,204,CCLIX,10c,,,"Add.14,524,fol.1","Add.14,524,fol.1",,,,,
"Add. 14,524, fol. 2",1,204,204,CCLX,10c,,,"Add.14,524,fol.2","Add.14,524,fol.2",,,,,
"Add. 14,524, foll. 12-21",1,349,349,CCCCXXXII,11c,,,"Add.14,524,foll.12-21","Add.14,524,foll.12-21",,,,,
"Add. 14,524, foll. 22-29",1,349,349,CCCCXXXIII,11c,,,"Add.14,524,foll.22-29",,Here,,,,
"Add. 14,524, foll. 30-47",1,357,357,CCCCXLVI,13c,,,"Add.14,524,foll.30-47","Add.14,524,foll.30-47",,,,,
"Add. 14,524, foll. 3-6",1,72,72,CXVI,11c-12c,,,"Add.14,524,foll.3-6","Add.14,524,foll.3-6",,,,,
"Add. 14,524, foll. 48-67",1,35,35,CCCCXXXV,11c-12c,,,"Add.14,524,foll.48-67",,Here,,,,
"Add. 14,524, foll. 7-11",1,143,143,CCXI,13c,,,"Add.14,524,foll.7-11","Add.14,524,foll.7-11",,,,,
"Add. 14,525, foll. 1-10",1,393,394,DXIV,9c-10c,,,"Add.14,525,foll.1-10","Add.14,525,folL1-10",,,,,
"Add. 14,525, foll. 11-24",1,302,303,CCCLXIX,10c-11c,,,"Add.14,525,foll.11-24","Add.14,525,folL11-24",,,,,
"Add. 14,525, foll. 25-27",1,254,254,CCCXV,10c-11c,,,"Add.14,525,foll.25-27","Add.14,525,foll.25-27",,,,,
"Add. 14,525, foll. 28-45",1,254,254,CCCXVI,10c-11c,,,"Add.14,525,foll.28-45","Add.14,525,foll.28-45",,,,,
"Add. 14,525, foll. 46-55",1,254,254,CCCXVII,10c-11c,,,"Add.14,525,foll.46-55","Add.14,525,foll.46-55",,,,,
"Add. 14,525, foll. 56-75",1,225,225,CCLXXXVIII,10c,,,"Add.14,525,foll.56-75",,Here,,,,
"Add. 14,526, foll. 1-39",2,1033,1036,DCCCCVII,7c,,,"Add.14,526,foll.1-39","Add.14,526,foll.1-39",,,,,
"Add. 14,526, foll. 40-47",2,1036,1036,DCCCCVIII,8c,,,"Add.14,526,foll.40-47","Add.14,526,foll.40-47",,,,,
"Add. 14,527 ",2,1036,1037,DCCCCIX,11c,,,"Add.14,527","Add.14,527",,,,,
"Add. 14,528, foll. 1-151",2,1030,1033,DCCCCVI,6c(501?),,,"Add.14,528,foll.1-151","Add.14,528,foll.1-151",,,,,
"Add. 14,528, foll. 152-228",1,176,177,CCXXXIX,6c,,,"Add.14,528,foll.152-228","Add.14,528,foll.152-228",,,,,
"Add. 14,529 ",2,917,921,DCCCLVI,7c-8c,,,"Add.14,529","Add.14,529",,,,,
"Add. 14,530 ",2,1027,1030,DCCCCV,535,,,"Add.14,530",,Here,,,,
"Add. 14,531 ",2,738,740,DCCLXIX,7c-8c,,,"Add.14,531","Add.14,531",,,,,
"Add. 14,532 ",2,955,967,DCCCLVIII,8c,,,"Add.14,532","Add.14,532",,,,,
"Add. 14,533 ",2,967,976,DCCCLIX,8c-9c,,,"Add.14,533","Add.14,533",,,,,
