,lexeme,syriac,glosses,etymologies,root,words,category,kaylo,origin_lang,origin_lang_word
4507,"{'id': 5592, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/5592.json'}",ܐܣܛܪܘܠܘܓܘܣ,{'English': ['astrologer.']},{'Greek': ['ἀστρολόγος']},,"[{'id': 38225, 'uri': 'https://sedra.bethmardutho.org/api/word/38225.json'}, {'id': 50403, 'uri': 'https://sedra.bethmardutho.org/api/word/50403.json'}]",,,Greek,ἀστρολόγος
4680,"{'id': 5765, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/5765.json'}",ܩܦܠܦܠܐ,"{'French': ['novateur', 'initié'], 'Arabic': ['مطلع', 'مبدع'], 'English': ['mixture, variety.']}",{'Greek': ['κεφαλή']},,"[{'id': 39795, 'uri': 'https://sedra.bethmardutho.org/api/word/39795.json'}]",,,Greek,κεφαλή
4688,"{'id': 5773, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/5773.json'}",ܬܢܘܒܘܬܐ,{'English': ['numbness.']},"{'Greek': ['ἀκράτεια', 'νάρκη']}",,"[{'id': 30949, 'uri': 'https://sedra.bethmardutho.org/api/word/30949.json'}]",,,Greek,"ἀκράτεια, νάρκη"
4702,"{'id': 5787, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/5787.json'}",ܡܘܪܘܢ,"{'English': ['ointment', 'unguent', 'perfume', 'myron, chrism, unguent, ointment.']}",{'Greek': ['μύρον']},,"[{'id': 11262, 'uri': 'https://sedra.bethmardutho.org/api/word/11262.json'}, {'id': 11263, 'uri': 'https://sedra.bethmardutho.org/api/word/11263.json'}, {'id': 29757, 'uri': 'https://sedra.bethmardutho.org/api/word/29757.json'}]",,,Greek,μύρον
4782,"{'id': 5868, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/5868.json'}",ܐܝܪܡܘܣ,{'English': ['hirmos (strophe indicating tone).']},{'Greek': ['εἱρμός']},,"[{'id': 36309, 'uri': 'https://sedra.bethmardutho.org/api/word/36309.json'}]",,,Greek,εἱρμός
4862,"{'id': 5948, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/5948.json'}",ܟܠܢܝܕܝܢ,"{'Arabic': ['رداء خفيف'], 'French': ['manteau léger'], 'English': ['mantle, cloak.']}",{'Greek': ['χλανίδιον']},,"[{'id': 30800, 'uri': 'https://sedra.bethmardutho.org/api/word/30800.json'}]",,,Greek,χλανίδιον
4923,"{'id': 6009, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/6009.json'}",ܦܪܩܠܝܛܐ,"{'English': ['advocate', 'Paraclete', 'intercessor, advocate.', 'comforter'], 'Arabic': ['شفيع, معز'], 'French': ['intercesseur, paraclet']}",{'Greek': ['παράκλητος']},,"[{'id': 31543, 'uri': 'https://sedra.bethmardutho.org/api/word/31543.json'}, {'id': 17027, 'uri': 'https://sedra.bethmardutho.org/api/word/17027.json'}, {'id': 17026, 'uri': 'https://sedra.bethmardutho.org/api/word/17026.json'}]",,,Greek,παράκλητος
5058,"{'id': 6145, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/6145.json'}",ܐܘܢܓܠܝܐ,"{'English': ['Gospel deacon.', 'pertaining to the Gospels', 'evangelical'], 'Latin': ['evangelicus']}",{'Latin': ['evangelicus']},,"[{'id': 38794, 'uri': 'https://sedra.bethmardutho.org/api/word/38794.json'}, {'id': 53389, 'uri': 'https://sedra.bethmardutho.org/api/word/53389.json'}]",,,Latin,evangelicus
5096,"{'id': 6183, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/6183.json'}",ܦܘܩܛܐ,{'English': ['boxer.']},{'Greek': ['πύκτης']},,"[{'id': 32554, 'uri': 'https://sedra.bethmardutho.org/api/word/32554.json'}]",,,Greek,πύκτης
5175,"{'id': 6262, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/6262.json'}",ܩܦܠܐܘܢ,"{'English': ['chapter', 'heading.']}","{'Greek': ['κεφάλαιον', 'κεφάλιον']}",,"[{'id': 33493, 'uri': 'https://sedra.bethmardutho.org/api/word/33493.json'}]",,,Greek,"κεφάλαιον, κεφάλιον"
5207,"{'id': 6294, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/6294.json'}",ܐܣܩܦܐ,"{'Arabic': ['كأس', 'إناء قنديل'], 'French': ['coupe', 'vase de lampe'], 'English': ['cup, bowl.']}",{'Greek': ['σκύφος']},,"[{'id': 37916, 'uri': 'https://sedra.bethmardutho.org/api/word/37916.json'}, {'id': 50545, 'uri': 'https://sedra.bethmardutho.org/api/word/50545.json'}]",,,Greek,σκύφος
5212,"{'id': 6299, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/6299.json'}",ܐܘܪܓܢܝܐ,"{'English': ['organic.', 'serving as organs or instruments, instrumental'], 'Greek': ['όργανικός']}",{'Greek': ['όργανικός']},,"[{'id': 35801, 'uri': 'https://sedra.bethmardutho.org/api/word/35801.json'}, {'id': 54914, 'uri': 'https://sedra.bethmardutho.org/api/word/54914.json'}]",,,Greek,όργανικός
5310,"{'id': 6397, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/6397.json'}",ܕܝܠܩܛܝܩܝܐ,"{'Latin': ['ars disputandi'], 'English': ['dialectic.']}",{'Greek': ['διαλεκτική']},,"[{'id': 37212, 'uri': 'https://sedra.bethmardutho.org/api/word/37212.json'}, {'id': 59822, 'uri': 'https://sedra.bethmardutho.org/api/word/59822.json'}]",,,Greek,διαλεκτική
5470,"{'id': 6557, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/6557.json'}",ܪܕܝܐ,"{'English': ['flow, current', 'Kth. context.', 'discharge', 'journey, course']}",{'Greek': ['κοιλίης ῥύσιες']},,"[{'id': 35463, 'uri': 'https://sedra.bethmardutho.org/api/word/35463.json'}]",,,Greek,κοιλίης ῥύσιες
