,lexeme,syriac,glosses,etymologies,root,words,category,kaylo,origin_lang,origin_lang_word
0,"{'id': 1, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/1.json'}",ܐܐܪ,"{'Arabic': ['هواء', 'هيئة'], 'French': ['air', 'aspect'], 'English': ['air', 'air\u200f.']}",{'Greek': ['ἀήρ']},"{'id': 1, 'uri': 'https://sedra.bethmardutho.org/api/root/1.json'}","[{'id': 1, 'uri': 'https://sedra.bethmardutho.org/api/word/1.json'}, {'id': 42245, 'uri': 'https://sedra.bethmardutho.org/api/word/42245.json'}, {'id': 2, 'uri': 'https://sedra.bethmardutho.org/api/word/2.json'}, {'id': 3, 'uri': 'https://sedra.bethmardutho.org/api/word/3.json'}, {'id': 4, 'uri': 'https://sedra.bethmardutho.org/api/word/4.json'}, {'id': 5, 'uri': 'https://sedra.bethmardutho.org/api/word/5.json'}]",noun,,Greek,ἀήρ
17,"{'id': 20, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20.json'}",ܐܓܘܢܐ,"{'Arabic': ['مصارعة, جهاد'], 'French': ['lutte, combat'], 'English': ['contest, struggle.', 'contest', 'conflict']}",{'Greek': ['ἀγών']},"{'id': 15, 'uri': 'https://sedra.bethmardutho.org/api/root/15.json'}","[{'id': 173, 'uri': 'https://sedra.bethmardutho.org/api/word/173.json'}, {'id': 174, 'uri': 'https://sedra.bethmardutho.org/api/word/174.json'}, {'id': 172, 'uri': 'https://sedra.bethmardutho.org/api/word/172.json'}, {'id': 175, 'uri': 'https://sedra.bethmardutho.org/api/word/175.json'}, {'id': 176, 'uri': 'https://sedra.bethmardutho.org/api/word/176.json'}]",noun,,Greek,ἀγών
31,"{'id': 36, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/36.json'}",ܐܕܫܐ,"{'Arabic': ['نوع, جنس', 'ثمرة, إنتاج'], 'French': ['espèce, genre', 'fruit, produit'], 'English': ['profit', 'fruit', 'species, kind', 'fruit, produce.']}",{'Greek': ['εἶδος']},"{'id': 29, 'uri': 'https://sedra.bethmardutho.org/api/root/29.json'}","[{'id': 250, 'uri': 'https://sedra.bethmardutho.org/api/word/250.json'}]",noun,,Greek,εἶδος
40,"{'id': 46, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/46.json'}",ܐܘܟܪܣܛܝܐ,{'English': ['Eucharist']},{'Greek': ['εὐχαριστία']},"{'id': 37, 'uri': 'https://sedra.bethmardutho.org/api/root/37.json'}","[{'id': 269, 'uri': 'https://sedra.bethmardutho.org/api/word/269.json'}, {'id': 270, 'uri': 'https://sedra.bethmardutho.org/api/word/270.json'}]",noun,,Greek,εὐχαριστία
43,"{'id': 49, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/49.json'}",ܐܘܢ,"{'Arabic': ['آه !'], 'French': ['oh'], 'English': ['therefore.', 'Oh!', 'Ah!', 'oh!'], 'Latin': ['O, ah, eheu']}",{'Latin': ['O']},"{'id': 39, 'uri': 'https://sedra.bethmardutho.org/api/root/39.json'}","[{'id': 280, 'uri': 'https://sedra.bethmardutho.org/api/word/280.json'}, {'id': 53384, 'uri': 'https://sedra.bethmardutho.org/api/word/53384.json'}]",particle,,Latin,O
46,"{'id': 53, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/53.json'}",ܐܘܩܝܢܐ,"{'Arabic': ['مرجاس'], 'French': ['sonde'], 'English': ['anchor', 'anchor.', 'hook'], 'Greek': ['ὄγκινος']}","{'Greek': ['ὄγκινος', 'ὄγκινος']}","{'id': 43, 'uri': 'https://sedra.bethmardutho.org/api/root/43.json'}","[{'id': 48938, 'uri': 'https://sedra.bethmardutho.org/api/word/48938.json'}, {'id': 292, 'uri': 'https://sedra.bethmardutho.org/api/word/292.json'}, {'id': 54878, 'uri': 'https://sedra.bethmardutho.org/api/word/54878.json'}, {'id': 293, 'uri': 'https://sedra.bethmardutho.org/api/word/293.json'}]",noun,,Greek,"ὄγκινος, ὄγκινος"
50,"{'id': 57, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/57.json'}",ܐܘܪܩܠܝܕܘܢ,"{'English': ['Euraquilo', 'wind']}",{'Greek': ['εὐροκλύδων']},"{'id': 46, 'uri': 'https://sedra.bethmardutho.org/api/root/46.json'}","[{'id': 298, 'uri': 'https://sedra.bethmardutho.org/api/word/298.json'}]",proper noun,,Greek,εὐροκλύδων
54,"{'id': 61, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/61.json'}",ܐܘܪܝܬܐ,"{'Arabic': ['شريعة (توراة)'], 'French': ['Loi (Pentateuque)'], 'English': ['Law', 'the Law, Torah.']}",{'Hebrew': ['אֹורָיָיתָא']},"{'id': 50, 'uri': 'https://sedra.bethmardutho.org/api/root/50.json'}","[{'id': 324, 'uri': 'https://sedra.bethmardutho.org/api/word/324.json'}, {'id': 325, 'uri': 'https://sedra.bethmardutho.org/api/word/325.json'}, {'id': 326, 'uri': 'https://sedra.bethmardutho.org/api/word/326.json'}]",noun,,Hebrew,אֹורָיָיתָא
68,"{'id': 77, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/77.json'}",ܐܝܙܓܕܐ,"{'Arabic': ['رسول', 'نائب'], 'French': ['messager', 'légat'], 'English': ['ambassador', 'messenger', 'name of a star', 'messenger, envoy', 'Kth. ambassador.', 'ambassador', 'legate', 'representative', 'envoy']}","{'Persian, Middle (Pahlavi)': ['*izgand']}","{'id': 61, 'uri': 'https://sedra.bethmardutho.org/api/root/61.json'}","[{'id': 609, 'uri': 'https://sedra.bethmardutho.org/api/word/609.json'}, {'id': 610, 'uri': 'https://sedra.bethmardutho.org/api/word/610.json'}, {'id': 608, 'uri': 'https://sedra.bethmardutho.org/api/word/608.json'}]",noun,,"Persian, Middle (Pahlavi)",*izgand
84,"{'id': 94, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/94.json'}",ܐܝܣܟܪ,{'English': ['Issachar']},{'Hebrew': ['יִשָּׂשכָר']},"{'id': 76, 'uri': 'https://sedra.bethmardutho.org/api/root/76.json'}","[{'id': 696, 'uri': 'https://sedra.bethmardutho.org/api/word/696.json'}, {'id': 695, 'uri': 'https://sedra.bethmardutho.org/api/word/695.json'}]",proper noun (nations; e.g. Huns),,Hebrew,יִשָּׂשכָר
88,"{'id': 99, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/99.json'}",ܐܝܪܘܦܘܠܝܣ,"{'Latin': ['Hierapolis'], 'Arabic': ['منبج\u200e']}","{'Greek': ['Ἱερὰ + πόλις, Holy city', 'Hierapolis']}","{'id': 80, 'uri': 'https://sedra.bethmardutho.org/api/root/80.json'}","[{'id': 713, 'uri': 'https://sedra.bethmardutho.org/api/word/713.json'}, {'id': 712, 'uri': 'https://sedra.bethmardutho.org/api/word/712.json'}]",proper noun,,Greek,"Ἱερὰ + πόλις, Holy city, Hierapolis"
92,"{'id': 103, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/103.json'}",ܐܝܬܘܬܐ,"{'Arabic': ['جوهر'], 'French': ['essence'], 'English': ['substance', 'essence', 'being, essence, existence', 'Divine Being, Godhead.']}",{'Greek': ['essentia']},"{'id': 83, 'uri': 'https://sedra.bethmardutho.org/api/root/83.json'}","[{'id': 759, 'uri': 'https://sedra.bethmardutho.org/api/word/759.json'}, {'id': 760, 'uri': 'https://sedra.bethmardutho.org/api/word/760.json'}, {'id': 661, 'uri': 'https://sedra.bethmardutho.org/api/word/661.json'}]",noun,,Greek,essentia
93,"{'id': 104, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/104.json'}",ܐܟܐܝܐ,{'English': ['Achaia']},{'Greek': ['Ἀχαΐα']},"{'id': 84, 'uri': 'https://sedra.bethmardutho.org/api/root/84.json'}","[{'id': 761, 'uri': 'https://sedra.bethmardutho.org/api/word/761.json'}, {'id': 762, 'uri': 'https://sedra.bethmardutho.org/api/word/762.json'}, {'id': 765, 'uri': 'https://sedra.bethmardutho.org/api/word/765.json'}, {'id': 763, 'uri': 'https://sedra.bethmardutho.org/api/word/763.json'}, {'id': 764, 'uri': 'https://sedra.bethmardutho.org/api/word/764.json'}]",proper noun,,Greek,Ἀχαΐα
94,"{'id': 105, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/105.json'}",ܐܟܐܝܩܘܣ,{'English': ['Achaicus']},{'Greek': ['Ἀχαϊκός']},"{'id': 85, 'uri': 'https://sedra.bethmardutho.org/api/root/85.json'}","[{'id': 49673, 'uri': 'https://sedra.bethmardutho.org/api/word/49673.json'}, {'id': 767, 'uri': 'https://sedra.bethmardutho.org/api/word/767.json'}, {'id': 766, 'uri': 'https://sedra.bethmardutho.org/api/word/766.json'}]",proper noun,,Greek,Ἀχαϊκός
95,"{'id': 106, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/106.json'}",ܐܟܕܢܐ,"{'Arabic': ['أفعى', 'صل'], 'French': ['vipère', 'aspic'], 'English': ['viper', 'viper.']}",{'Greek': ['ἔχιδνα']},"{'id': 86, 'uri': 'https://sedra.bethmardutho.org/api/root/86.json'}","[{'id': 771, 'uri': 'https://sedra.bethmardutho.org/api/word/771.json'}, {'id': 49677, 'uri': 'https://sedra.bethmardutho.org/api/word/49677.json'}, {'id': 768, 'uri': 'https://sedra.bethmardutho.org/api/word/768.json'}, {'id': 769, 'uri': 'https://sedra.bethmardutho.org/api/word/769.json'}, {'id': 770, 'uri': 'https://sedra.bethmardutho.org/api/word/770.json'}]",noun,,Greek,ἔχιδνα
108,"{'id': 119, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/119.json'}",ܐܟܠܘܣ,"{'Arabic': ['جماعة, غوغاء', 'شغب'], 'French': ['foule, attroupement', 'sédition'], 'English': ['crowd', 'multitude', 'crowd.']}",{'Greek': ['ὄχλος']},"{'id': 90, 'uri': 'https://sedra.bethmardutho.org/api/root/90.json'}","[{'id': 42529, 'uri': 'https://sedra.bethmardutho.org/api/word/42529.json'}, {'id': 872, 'uri': 'https://sedra.bethmardutho.org/api/word/872.json'}, {'id': 873, 'uri': 'https://sedra.bethmardutho.org/api/word/873.json'}]",noun,,Greek,ὄχλος
111,"{'id': 122, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/122.json'}",ܐܟܣܢܝܐ,"{'Arabic': ['مدهش'], 'French': ['étonnant'], 'English': ['guest', 'stranger', 'strange.', 'stranger, foreigner, pilgrim', 'foreign']}",{'Greek': ['ξενία']},"{'id': 92, 'uri': 'https://sedra.bethmardutho.org/api/root/92.json'}","[{'id': 878, 'uri': 'https://sedra.bethmardutho.org/api/word/878.json'}, {'id': 879, 'uri': 'https://sedra.bethmardutho.org/api/word/879.json'}, {'id': 880, 'uri': 'https://sedra.bethmardutho.org/api/word/880.json'}, {'id': 881, 'uri': 'https://sedra.bethmardutho.org/api/word/881.json'}, {'id': 882, 'uri': 'https://sedra.bethmardutho.org/api/word/882.json'}, {'id': 883, 'uri': 'https://sedra.bethmardutho.org/api/word/883.json'}]",adjective,,Greek,ξενία
124,"{'id': 135, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/135.json'}",ܐܠܘܡܘܣ,{'English': ['Elymas']},{'Greek': ['ἔλυμος']},"{'id': 100, 'uri': 'https://sedra.bethmardutho.org/api/root/100.json'}","[{'id': 943, 'uri': 'https://sedra.bethmardutho.org/api/word/943.json'}]",proper noun,,Greek,ἔλυμος
126,"{'id': 137, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/137.json'}",ܐܠܘܪܝܩܘܢ,{'English': ['Illyricum']},{'Greek': ['Illyricum']},"{'id': 102, 'uri': 'https://sedra.bethmardutho.org/api/root/102.json'}","[{'id': 947, 'uri': 'https://sedra.bethmardutho.org/api/word/947.json'}, {'id': 946, 'uri': 'https://sedra.bethmardutho.org/api/word/946.json'}]",proper noun,,Greek,Illyricum
128,"{'id': 139, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/139.json'}",ܐܠܝܘܕ,{'English': ['Eliud']},{'Greek': ['Ἐλιούδ']},"{'id': 104, 'uri': 'https://sedra.bethmardutho.org/api/root/104.json'}","[{'id': 958, 'uri': 'https://sedra.bethmardutho.org/api/word/958.json'}, {'id': 957, 'uri': 'https://sedra.bethmardutho.org/api/word/957.json'}]",proper noun,,Greek,Ἐλιούδ
136,"{'id': 147, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/147.json'}",ܐܠܟܣܢܕܪܝܐ,{'English': ['Alexandrian']},{'Greek': ['Ἀλεξανδρεύς']},"{'id': 111, 'uri': 'https://sedra.bethmardutho.org/api/root/111.json'}","[{'id': 973, 'uri': 'https://sedra.bethmardutho.org/api/word/973.json'}, {'id': 975, 'uri': 'https://sedra.bethmardutho.org/api/word/975.json'}, {'id': 976, 'uri': 'https://sedra.bethmardutho.org/api/word/976.json'}, {'id': 22759, 'uri': 'https://sedra.bethmardutho.org/api/word/22759.json'}, {'id': 974, 'uri': 'https://sedra.bethmardutho.org/api/word/974.json'}]",adjective of place,,Greek,Ἀλεξανδρεύς
150,"{'id': 161, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/161.json'}",ܐܡܘܬܣܣ,{'English': ['amethyst']},{'Greek': ['ἀμέθυστος']},"{'id': 120, 'uri': 'https://sedra.bethmardutho.org/api/root/120.json'}","[{'id': 1104, 'uri': 'https://sedra.bethmardutho.org/api/word/1104.json'}, {'id': 1105, 'uri': 'https://sedra.bethmardutho.org/api/word/1105.json'}]",noun,,Greek,ἀμέθυστος
151,"{'id': 162, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/162.json'}",ܐܡܝܢ,"{'English': ['verily', 'Amen', 'verily', 'Amen.', 'consent']}",{'Greek': ['amen']},"{'id': 121, 'uri': 'https://sedra.bethmardutho.org/api/root/121.json'}","[{'id': 42681, 'uri': 'https://sedra.bethmardutho.org/api/word/42681.json'}, {'id': 1106, 'uri': 'https://sedra.bethmardutho.org/api/word/1106.json'}, {'id': 1107, 'uri': 'https://sedra.bethmardutho.org/api/word/1107.json'}]",particle,,Greek,amen
156,"{'id': 169, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/169.json'}",ܐܡܦܝܦܘܠܝܣ,{'English': ['Amphipolis']},{'Greek': ['Amphipolis']},"{'id': 123, 'uri': 'https://sedra.bethmardutho.org/api/root/123.json'}","[{'id': 1231, 'uri': 'https://sedra.bethmardutho.org/api/word/1231.json'}]",proper noun,,Greek,Amphipolis
168,"{'id': 181, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/181.json'}",ܐܢܕܪܘܢܝܩܘܣ,{'English': ['Andronicus']},{'Greek': ['Ἀνδρόνικος']},"{'id': 134, 'uri': 'https://sedra.bethmardutho.org/api/root/134.json'}","[{'id': 1380, 'uri': 'https://sedra.bethmardutho.org/api/word/1380.json'}, {'id': 1379, 'uri': 'https://sedra.bethmardutho.org/api/word/1379.json'}]",proper noun,,Greek,Ἀνδρόνικος
180,"{'id': 198, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/198.json'}",ܐܢܬܘܦܛܘܣ,{'English': ['proconsul']},{'Greek': ['ἀνθύπατος']},"{'id': 147, 'uri': 'https://sedra.bethmardutho.org/api/root/147.json'}","[{'id': 1481, 'uri': 'https://sedra.bethmardutho.org/api/word/1481.json'}, {'id': 1482, 'uri': 'https://sedra.bethmardutho.org/api/word/1482.json'}]",noun,,Greek,ἀνθύπατος
182,"{'id': 202, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/202.json'}",ܐܣܘܛܐ,"{'Arabic': ['شره, طماع'], 'French': ['intempérant, avide'], 'English': ['prodigal, glutton.', 'glutton', 'prodigal']}",{'Greek': ['ἄσωτος']},"{'id': 151, 'uri': 'https://sedra.bethmardutho.org/api/root/151.json'}","[{'id': 1514, 'uri': 'https://sedra.bethmardutho.org/api/word/1514.json'}]",adjective,,Greek,ἄσωτος
183,"{'id': 203, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/203.json'}",ܐܣܘܛܘܬܐ,"{'Arabic': ['شراهة, طماعة'], 'French': ['intempérance, avidité'], 'English': ['luxury', 'profligacy', 'intemperance, licentiousness.']}",{'Greek': ['ἄσωτος']},"{'id': 151, 'uri': 'https://sedra.bethmardutho.org/api/root/151.json'}","[{'id': 50348, 'uri': 'https://sedra.bethmardutho.org/api/word/50348.json'}, {'id': 1515, 'uri': 'https://sedra.bethmardutho.org/api/word/1515.json'}, {'id': 1516, 'uri': 'https://sedra.bethmardutho.org/api/word/1516.json'}]",noun,,Greek,ἄσωτος
185,"{'id': 205, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/205.json'}",ܐܣܛܕܐ,"{'English': ['stade', 'stadium', 'arena', 'stade (measure of distance).']}",{'Greek': ['στάδιον']},"{'id': 153, 'uri': 'https://sedra.bethmardutho.org/api/root/153.json'}","[{'id': 42317, 'uri': 'https://sedra.bethmardutho.org/api/word/42317.json'}, {'id': 1519, 'uri': 'https://sedra.bethmardutho.org/api/word/1519.json'}, {'id': 50365, 'uri': 'https://sedra.bethmardutho.org/api/word/50365.json'}, {'id': 22957, 'uri': 'https://sedra.bethmardutho.org/api/word/22957.json'}, {'id': 1522, 'uri': 'https://sedra.bethmardutho.org/api/word/1522.json'}, {'id': 1523, 'uri': 'https://sedra.bethmardutho.org/api/word/1523.json'}, {'id': 1520, 'uri': 'https://sedra.bethmardutho.org/api/word/1520.json'}, {'id': 1521, 'uri': 'https://sedra.bethmardutho.org/api/word/1521.json'}]",noun,,Greek,στάδιον
186,"{'id': 206, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/206.json'}",ܐܣܛܘܐ,"{'English': ['portico', 'arcade', 'stoa, portico.']}",{'Greek': ['στοά']},"{'id': 154, 'uri': 'https://sedra.bethmardutho.org/api/root/154.json'}","[{'id': 1527, 'uri': 'https://sedra.bethmardutho.org/api/word/1527.json'}, {'id': 1524, 'uri': 'https://sedra.bethmardutho.org/api/word/1524.json'}, {'id': 1525, 'uri': 'https://sedra.bethmardutho.org/api/word/1525.json'}, {'id': 1526, 'uri': 'https://sedra.bethmardutho.org/api/word/1526.json'}]",noun,,Greek,στοά
187,"{'id': 207, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/207.json'}",ܐܣܛܘܐܝܩܘ,{'English': ['Stoics']},{'Greek': ['στωικός']},"{'id': 155, 'uri': 'https://sedra.bethmardutho.org/api/root/155.json'}","[{'id': 50371, 'uri': 'https://sedra.bethmardutho.org/api/word/50371.json'}, {'id': 1528, 'uri': 'https://sedra.bethmardutho.org/api/word/1528.json'}, {'id': 1529, 'uri': 'https://sedra.bethmardutho.org/api/word/1529.json'}]",adjective,,Greek,στωικός
188,"{'id': 208, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/208.json'}",ܐܣܛܘܟܣܐ,"{'Arabic': ['عنصر'], 'French': ['élément'], 'English': ['element', 'body']}",{'Greek': ['στοιχεῖον']},"{'id': 156, 'uri': 'https://sedra.bethmardutho.org/api/root/156.json'}","[{'id': 1531, 'uri': 'https://sedra.bethmardutho.org/api/word/1531.json'}, {'id': 50373, 'uri': 'https://sedra.bethmardutho.org/api/word/50373.json'}, {'id': 29540, 'uri': 'https://sedra.bethmardutho.org/api/word/29540.json'}, {'id': 1530, 'uri': 'https://sedra.bethmardutho.org/api/word/1530.json'}, {'id': 1532, 'uri': 'https://sedra.bethmardutho.org/api/word/1532.json'}]",noun,,Greek,στοιχεῖον
189,"{'id': 209, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/209.json'}",ܐܣܛܘܡܟܐ,"{'Arabic': ['معدة'], 'French': ['estomac'], 'English': ['stomach', 'stomach.']}",{'Greek': ['στόμαχος']},"{'id': 157, 'uri': 'https://sedra.bethmardutho.org/api/root/157.json'}","[{'id': 1533, 'uri': 'https://sedra.bethmardutho.org/api/word/1533.json'}, {'id': 1534, 'uri': 'https://sedra.bethmardutho.org/api/word/1534.json'}]",noun,,Greek,στόμαχος
191,"{'id': 211, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/211.json'}",ܐܣܛܠܐ,"{'English': ['garment, raiment.', 'robe']}",{'Greek': ['στολή']},"{'id': 159, 'uri': 'https://sedra.bethmardutho.org/api/root/159.json'}","[{'id': 1539, 'uri': 'https://sedra.bethmardutho.org/api/word/1539.json'}, {'id': 1538, 'uri': 'https://sedra.bethmardutho.org/api/word/1538.json'}, {'id': 1537, 'uri': 'https://sedra.bethmardutho.org/api/word/1537.json'}, {'id': 1540, 'uri': 'https://sedra.bethmardutho.org/api/word/1540.json'}, {'id': 1541, 'uri': 'https://sedra.bethmardutho.org/api/word/1541.json'}]",noun,,Greek,στολή
192,"{'id': 212, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/212.json'}",ܐܣܛܣܝܣ,"{'Arabic': ['فتنة'], 'French': ['sédition'], 'English': ['riot', 'strife', 'sedition, rebellion.']}",{'Greek': ['στάσις']},"{'id': 160, 'uri': 'https://sedra.bethmardutho.org/api/root/160.json'}","[{'id': 1542, 'uri': 'https://sedra.bethmardutho.org/api/word/1542.json'}, {'id': 1543, 'uri': 'https://sedra.bethmardutho.org/api/word/1543.json'}, {'id': 1544, 'uri': 'https://sedra.bethmardutho.org/api/word/1544.json'}]",noun,,Greek,στάσις
195,"{'id': 216, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/216.json'}",ܐܣܛܪܛܝܓܐ,"{'Arabic': ['حاكم, قائد جيش'], 'French': ['préteur, chef d&#39;armée'], 'English': ['prefect', 'praetor', 'governor.', 'commander, general']}",{'Greek': ['στρατηγός']},"{'id': 163, 'uri': 'https://sedra.bethmardutho.org/api/root/163.json'}","[{'id': 1552, 'uri': 'https://sedra.bethmardutho.org/api/word/1552.json'}, {'id': 1554, 'uri': 'https://sedra.bethmardutho.org/api/word/1554.json'}, {'id': 1553, 'uri': 'https://sedra.bethmardutho.org/api/word/1553.json'}]",noun,,Greek,στρατηγός
200,"{'id': 224, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/224.json'}",ܐܣܟܡܐ,"{'Arabic': ['نوع', 'جنس', 'شكل', 'ظاهر', 'تظاهر', 'زينة', 'ثوب رهباني'], 'French': ['manière', 'sorte', 'forme', 'apparence', 'semblant', 'ornement', 'habit monastique'], 'English': ['form', 'fashion', 'figure', 'monastic habit.', 'manner, appearance', 'dress', 'shape, form']}",{'Greek': ['σχῆμα']},"{'id': 168, 'uri': 'https://sedra.bethmardutho.org/api/root/168.json'}","[{'id': 1629, 'uri': 'https://sedra.bethmardutho.org/api/word/1629.json'}, {'id': 1628, 'uri': 'https://sedra.bethmardutho.org/api/word/1628.json'}, {'id': 1630, 'uri': 'https://sedra.bethmardutho.org/api/word/1630.json'}, {'id': 1631, 'uri': 'https://sedra.bethmardutho.org/api/word/1631.json'}, {'id': 1632, 'uri': 'https://sedra.bethmardutho.org/api/word/1632.json'}, {'id': 1633, 'uri': 'https://sedra.bethmardutho.org/api/word/1633.json'}]",noun,,Greek,σχῆμα
202,"{'id': 226, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/226.json'}",ܐܣܦܘܓܐ,"{'Arabic': ['إسفنج'], 'French': ['éponge'], 'English': ['sponge', 'sponge.']}",{'Greek': ['σπόγγος']},"{'id': 170, 'uri': 'https://sedra.bethmardutho.org/api/root/170.json'}","[{'id': 1636, 'uri': 'https://sedra.bethmardutho.org/api/word/1636.json'}]",noun,,Greek,σπόγγος
203,"{'id': 228, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/228.json'}",ܐܣܦܝܪܐ,"{'English': ['cohort', 'ball, sphere.']}",{'Greek': ['σφαῖρα']},"{'id': 172, 'uri': 'https://sedra.bethmardutho.org/api/root/172.json'}","[{'id': 50499, 'uri': 'https://sedra.bethmardutho.org/api/word/50499.json'}, {'id': 1641, 'uri': 'https://sedra.bethmardutho.org/api/word/1641.json'}, {'id': 1638, 'uri': 'https://sedra.bethmardutho.org/api/word/1638.json'}, {'id': 1640, 'uri': 'https://sedra.bethmardutho.org/api/word/1640.json'}, {'id': 1639, 'uri': 'https://sedra.bethmardutho.org/api/word/1639.json'}]",noun,,Greek,σφαῖρα
205,"{'id': 230, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/230.json'}",ܐܣܦܣ,"{'Arabic': ['حية'], 'French': ['serpent'], 'English': ['asp', 'snake', 'adder.']}",{'Greek': ['ἀσπίς']},"{'id': 174, 'uri': 'https://sedra.bethmardutho.org/api/root/174.json'}","[{'id': 1645, 'uri': 'https://sedra.bethmardutho.org/api/word/1645.json'}, {'id': 1644, 'uri': 'https://sedra.bethmardutho.org/api/word/1644.json'}]",noun,,Greek,ἀσπίς
206,"{'id': 231, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/231.json'}",ܐܣܦܪܝܕܐ,"{'Arabic': ['قفة'], 'French': ['corbeille'], 'English': ['basket', 'plaited basket.']}",{'Greek': ['σπυρίς']},"{'id': 175, 'uri': 'https://sedra.bethmardutho.org/api/root/175.json'}","[{'id': 50514, 'uri': 'https://sedra.bethmardutho.org/api/word/50514.json'}, {'id': 1646, 'uri': 'https://sedra.bethmardutho.org/api/word/1646.json'}, {'id': 1647, 'uri': 'https://sedra.bethmardutho.org/api/word/1647.json'}, {'id': 1649, 'uri': 'https://sedra.bethmardutho.org/api/word/1649.json'}, {'id': 1648, 'uri': 'https://sedra.bethmardutho.org/api/word/1648.json'}]",noun,,Greek,σπυρίς
213,"{'id': 238, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/238.json'}",ܐܣܪܐ,"{'Arabic': ['فلس'], 'French': ['as'], 'English': ['coin', 'small coin.']}",{'Greek': ['ἀσσάριον']},"{'id': 177, 'uri': 'https://sedra.bethmardutho.org/api/root/177.json'}","[{'id': 1713, 'uri': 'https://sedra.bethmardutho.org/api/word/1713.json'}, {'id': 1711, 'uri': 'https://sedra.bethmardutho.org/api/word/1711.json'}, {'id': 1714, 'uri': 'https://sedra.bethmardutho.org/api/word/1714.json'}, {'id': 1712, 'uri': 'https://sedra.bethmardutho.org/api/word/1712.json'}]",noun,,Greek,ἀσσάριον
219,"{'id': 246, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/246.json'}",ܐܦܘܕܐ,"{'Arabic': ['أفود'], 'French': ['éphod'], 'English': ['ephod']}",{'Hebrew': ['אֵפֹד']},"{'id': 183, 'uri': 'https://sedra.bethmardutho.org/api/root/183.json'}","[{'id': 50628, 'uri': 'https://sedra.bethmardutho.org/api/word/50628.json'}, {'id': 1772, 'uri': 'https://sedra.bethmardutho.org/api/word/1772.json'}]",noun,,Hebrew,אֵפֹד
223,"{'id': 250, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/250.json'}",ܐܦܝܛܪܘܦܐ,"{'English': ['steward, guardian.', 'guardian', 'tutor'], 'Arabic': ['حاكم'], 'French': ['procurateur']}",{'Greek': ['ἐπίτροπος']},"{'id': 187, 'uri': 'https://sedra.bethmardutho.org/api/root/187.json'}","[{'id': 38715, 'uri': 'https://sedra.bethmardutho.org/api/word/38715.json'}, {'id': 1780, 'uri': 'https://sedra.bethmardutho.org/api/word/1780.json'}, {'id': 1779, 'uri': 'https://sedra.bethmardutho.org/api/word/1779.json'}]",noun,,Greek,ἐπίτροπος
